id,year,title
tt1711425,2013,21 & Over
tt1343727,2012,Dredd 3D
tt2024544,2013,12 Years a Slave
tt1272878,2013,2 Guns
tt0453562,2013,42
tt1335975,2013,47 Ronin
tt1606378,2013,A Good Day to Die Hard
tt2194499,2013,About Time
tt1814621,2013,Admission
tt1815862,2013,After Earth
tt1800241,2013,American Hustle
tt1322269,2013,August: Osage County
tt1559547,2013,Beautiful Creatures
tt2334873,2013,Blue Jasmine
tt1535109,2013,Captain Phillips
tt1939659,2013,Carrie
tt1985966,2013,Cloudy with a Chance of Meatballs 2
tt1690953,2013,Despicable Me 2
tt2229499,2013,Don Jon
tt1535108,2013,Elysium
tt1731141,2013,Ender&#39;s Game
tt0848537,2013,Epic
tt0765446,2013,Escape from Planet Earth
tt1211956,2013,Escape Plan
tt1288558,2013,Evil Dead
tt1905041,2013,Fast and Furious 6
tt2294629,2013,Frozen
tt1583421,2013,G.I. Joe: Retaliation
tt1321870,2013,Gangster Squad
tt2425486,2013,Gloria
tt1454468,2013,Gravity
tt2191701,2013,Grown Ups 2
tt1428538,2013,Hansel & Gretel: Witch Hunters
tt1798709,2013,Her
tt2024432,2013,Identity Thief
tt2226417,2013,Insidious: Chapter 2
tt1300854,2013,Iron Man 3
tt1351685,2013,Jack the Giant Slayer
tt1650554,2013,Kick-Ass 2
tt1204975,2013,Last Vegas
tt1327773,2013,Lee Daniels&#39; The Butler
tt2002718,2013,Machete Kills
tt2023587,2013,Mama
tt0770828,2013,Man of Steel
tt1821549,2013,Nebraska
tt1670345,2013,Now You See Me
tt1483013,2013,Oblivion
tt2302755,2013,Olympus Has Fallen
tt1623205,2013,Oz the Great and Powerful
tt1663662,2013,Pacific Rim
tt1980209,2013,Pain & Gain
tt1904996,2013,Parker
tt1699755,2013,Peeples
tt1854564,2013,Percy Jackson: Sea of Monsters
tt1392214,2013,Prisoners
tt0790736,2013,R.I.P.D.
tt1821694,2013,Red 2
tt1411250,2013,Riddick
tt2364841,2013,Runner Runner
tt1979320,2013,Rush
tt1702439,2013,Safe Haven
tt2140373,2013,Saving Mr. Banks
tt2053463,2013,Side Effects
tt1408101,2013,Star Trek Into Darkness
tt1572315,2013,Texas Chainsaw 3D
tt1931435,2013,The Big Wedding
tt0816442,2013,The Book Thief
tt1911644,2013,The Call
tt1457767,2013,The Conjuring
tt2193215,2013,The Counselor
tt0481499,2013,The Croods
tt2404311,2013,The Family
tt1837703,2013,The Fifth Estate
tt2005374,2013,The Frozen Ground
tt1343092,2013,The Great Gatsby
tt1951261,2013,The Hangover part 3
tt2404463,2013,The Heat
tt1170358,2013,The Hobbit: The Desolation of Smaug
tt1517260,2013,The Host
tt1951264,2013,The Hunger Games: Catching Fire
tt0790628,2013,The Incredible Burt Wonderstone
tt2234155,2013,The Internship
tt2034139,2013,The Last Exorcism Part II
tt1210819,2013,The Lone Ranger
tt1538403,2013,The Mortal Instruments: City of Bones
tt2184339,2013,The Purge
tt2017020,2013,The Smurfs 2
tt1758795,2013,The To Do List
tt1727388,2013,The Way Way Back
tt0993846,2013,The Wolf of Wall Street
tt1430132,2013,The Wolverine
tt1213663,2013,The World&#39;s End
tt1245492,2013,This Is the End
tt1981115,2013,Thor: The Dark World
tt1924429,2013,Trance
tt1860353,2013,Turbo
tt1588173,2013,Warm Bodies
tt1723121,2013,We&#39;re the Millers
tt2334879,2013,White House Down
tt0816711,2013,World War Z
tt1611224,2012,Abraham Lincoln: Vampire Hunter
tt1591479,2012,Act of Valor
tt1602620,2012,Amour
tt1781769,2012,Anna Karenina
tt1024648,2012,Argo
tt1440129,2012,Battleship
tt2125435,2012,Beasts of the Southern Wild
tt1758575,2012,Blue Like Jazz
tt1217209,2012,Brave
tt1308729,2012,Bullet to the Head
tt1991245,2012,Chernobyl Diaries
tt1706593,2012,Chronicle
tt1371111,2012,Cloud Atlas
tt1524137,2012,Contraband
tt1853728,2012,Django Unchained
tt1907668,2012,Flight
tt1142977,2012,Frankenweenie
tt2243973,2012,Hannibal
tt0837562,2012,Hotel Transylvania
tt0790724,2012,Jack Reacher
tt2106476,2012,Jagten
tt0401729,2012,John Carter
tt1764234,2012,Killing Them Softly
tt1707386,2012,Les Miserables
tt0454876,2012,Life of Pi
tt0443272,2012,Lincoln
tt1277953,2012,Madagascar 3: Europe&#39;s Most Wanted
tt1409024,2012,Men in Black III
